timestamp,coin,low,last,high
2025-08-15 18:31:04,BTC,116763.40,117137.10,119210.50
2025-08-15 18:31:04,ETH,4368.00,4419.68,4669.17
2025-08-15 18:31:04,XRP,3.00,3.07,3.14
2025-08-15 18:31:04,SOL,183.38,185.07,198.06
2025-08-15 18:31:04,ADA,0.91,0.94,0.96
2025-08-15 18:32:04,BTC,116763.40,117095.10,119210.50
2025-08-15 18:32:04,ETH,4368.00,4419.85,4669.17
2025-08-15 18:32:04,XRP,3.00,3.07,3.14
2025-08-15 18:32:04,SOL,183.38,185.10,198.06
2025-08-15 18:32:04,ADA,0.91,0.94,0.96
2025-08-15 18:32:26,BTC,116763.40,117103.50,119210.50
2025-08-15 18:32:26,ETH,4368.00,4417.34,4669.17
2025-08-15 18:32:26,XRP,3.00,3.07,3.14
2025-08-15 18:32:26,SOL,183.38,185.03,198.06
2025-08-15 18:32:26,ADA,0.91,0.94,0.96
2025-08-15 18:32:47,BTC,116763.40,117113.00,119210.50
2025-08-15 18:32:47,ETH,4368.00,4418.25,4669.17
2025-08-15 18:32:47,XRP,3.00,3.07,3.14
2025-08-15 18:32:47,SOL,183.38,185.01,198.06
2025-08-15 18:32:47,ADA,0.91,0.94,0.96
2025-08-15 18:33:46,BTC,116763.40,117147.00,119210.50
2025-08-15 18:33:46,ETH,4368.00,4424.41,4669.17
2025-08-15 18:33:46,XRP,3.00,3.07,3.14
2025-08-15 18:33:46,SOL,183.38,185.26,198.06
2025-08-15 18:33:46,ADA,0.91,0.94,0.96
2025-08-15 18:34:08,BTC,116763.40,117147.60,119210.50
2025-08-15 18:34:08,ETH,4368.00,4426.39,4669.17
2025-08-15 18:34:08,XRP,3.00,3.07,3.14
2025-08-15 18:34:08,SOL,183.38,185.35,198.06
2025-08-15 18:34:08,ADA,0.91,0.94,0.96
2025-08-15 18:34:29,BTC,116763.40,117147.60,119210.50
2025-08-15 18:34:29,ETH,4368.00,4424.53,4669.17
2025-08-15 18:34:29,XRP,3.00,3.07,3.14
2025-08-15 18:34:29,SOL,183.38,185.37,198.06
2025-08-15 18:34:29,ADA,0.91,0.94,0.96
2025-08-15 18:34:50,BTC,116763.40,117147.70,119210.50
2025-08-15 18:34:50,ETH,4368.00,4425.14,4669.17
2025-08-15 18:34:50,XRP,3.00,3.07,3.14
2025-08-15 18:34:50,SOL,183.38,185.24,198.06
